10150268.xml	DDI-MedLine.d78.s0	NO_SECTION	NO_SETID	9
39	221	228	O	efficacy
40	230	232	O	has
41	234	240	O	emerged
42	242	245	O	from
43	247	249	O	the
44	251	256	O	review
45	258	259	O	of
46	261	263	O	all
47	265	267	O	the
48	269	276	O	evidence
NULL

1089817.xml	DDI-MedLine.d50.s4	NO_SECTION	NO_SETID	33
Similarly, there is currently little adequate evidence on either the presence or the absence of serious adverse reactions to such doses of ascorbic acid, although many such reactions have been hypothesized.
1	0	8	O	Similarly
2	9	9	O	,
3	11	15	O	there
4	17	18	O	is
5	20	28	O	currently
6	30	35	O	little
7	37	44	O	adequate
8	46	53	O	evidence
9	55	56	O	on
10	58	63	O	either
11	65	67	O	the
12	69	76	O	presence
13	78	79	O	or
14	81	83	O	the
15	85	91	O	absence
16	93	94	O	of
17	96	102	O	serious
18	104	110	O	adverse
19	112	120	O	reactions
20	122	123	O	to
21	125	128	O	such
22	130	134	O	doses
23	136	137	O	of
24	139	146	B-UNK	ascorbic
25	148	151	L-UNK	acid
26	152	152	O	,
27	154	161	O	although
28	163	166	O	many
29	168	171	O	such
30	173	181	O	reactions
31	183	186	O	have
32	188	191	O	been
33	193	204	O	hypothesized
NULL

1089817.xml	DDI-MedLine.d50.s5	NO_SECTION	NO_SETID	20
The unrestricted use of ascorbic acid for these purposes cannot be advocated on the basis of the evidence currently available.
1	0	2	O	The
2	4	15	O	unrestricted
3	17	19	O	use
4	21	22	O	of
5	24	31	B-UNK	ascorbic
6	33	36	L-UNK	acid
7	38	40	O	for
8	42	46	O	these
9	48	55	O	purposes
10	57	62	O	cannot
11	64	65	O	be
12	67	75	O	advocated
13	77	78	O	on
14	80	82	O	the
15	84	88	O	basis
16	90	91	O	of
17	93	95	O	the
18	97	104	O	evidence
19	106	114	O	currently
20	116	124	O	available
NULL

10959916.xml	DDI-MedLine.d26.s0	NO_SECTION	NO_SETID	12
Optimal designs for the individual and joint exposure general logistic regression models.
1	0	6	O	Optimal
2	8	14	O	designs
3	16	18	O	for
4	20	22	O	the
5	24	33	O	individual
6	35	37	O	and
7	39	43	O	joint
8	45	52	O	exposure
9	54	60	O	general
10	62	69	O	logistic
11	71	80	O	regression
12	82	87	O	models
NULL

10959916.xml	DDI-MedLine.d26.s1	NO_SECTION	NO_SETID	17
Interest in administering compounds in combination lies both in enhancing efficacious effects and in limiting adverse effects.
1	0	7	O	Interest
2	9	10	O	in
3	12	24	O	administering
4	26	34	O	compounds
5	36	37	O	in
6	39	49	O	combination
7	51	54	O	lies
8	56	59	O	both
9	61	62	O	in
10	64	72	O	enhancing
11	74	84	O	efficacious
12	86	92	O	effects
13	94	96	O	and
14	98	99	O	in
15	101	108	O	limiting
16	110	116	O	adverse
17	118	124	O	effects
NULL

10959916.xml	DDI-MedLine.d26.s2	NO_SECTION	NO_SETID	31
Although much statistical work has focused on developing mathematical functions to model the joint dose-response curves, relatively little work exists in regard to designing experiments for assessing joint action.
1	0	7	O	Although
2	9	12	O	much
3	14	24	O	statistical
4	26	29	O	work
5	31	33	O	has
6	35	41	O	focused
7	43	44	O	on
8	46	55	O	developing
9	57	68	O	mathematical
10	70	78	O	functions
11	80	81	O	to
12	83	87	O	model
13	89	91	O	the
14	93	97	O	joint
15	99	102	O	dose
16	104	111	O	response
17	113	118	O	curves
18	119	119	O	,
19	121	130	O	relatively
20	132	137	O	little
21	139	142	O	work
22	144	149	O	exists
23	151	152	O	in
24	154	159	O	regard
25	161	162	O	to
26	164	172	O	designing
27	174	184	O	experiments
28	186	188	O	for
29	190	198	O	assessing
30	200	204	O	joint
31	206	211	O	action
NULL

10959916.xml	DDI-MedLine.d26.s3	NO_SECTION	NO_SETID	22
A variety of parametric dose-response models based on either the normal or logistic probability distribution have been proposed in the literature.
1	0	0	O	A
2	2	8	O	variety
3	10	11	O	of
4	13	22	O	parametric
5	24	27	O	dose
6	29	36	O	response
7	38	43	O	models
8	45	49	O	based
9	51	52	O	on
10	54	59	O	either
11	61	63	O	the
12	65	70	O	normal
13	72	73	O	or
14	75	82	O	logistic
15	84	94	O	probability
16	96	107	O	distribution
17	109	112	O	have
18	114	117	O	been
19	119	126	O	proposed
20	128	129	O	in
21	131	133	O	the
22	135	144	O	literature
NULL

10959916.xml	DDI-MedLine.d26.s4	NO_SECTION	NO_SETID	28
These models are typically nonlinear in the parameters, and as such, a nonlinear weighted least squares approach can be employed for the purpose of designing experiments.
1	0	4	O	These
2	6	11	O	models
3	13	15	O	are
4	17	25	O	typically
5	27	35	O	nonlinear
6	37	38	O	in
7	40	42	O	the
8	44	53	O	parameters
9	54	54	O	,
10	56	58	O	and
11	60	61	O	as
12	63	66	O	such
13	67	67	O	,
14	69	69	O	a
15	71	79	O	nonlinear
16	81	88	O	weighted
17	90	94	O	least
18	96	102	O	squares
19	104	111	O	approach
20	113	115	O	can
21	117	118	O	be
22	120	127	O	employed
23	129	131	O	for
24	133	135	O	the
25	137	143	O	purpose
26	145	146	O	of
27	148	156	O	designing
28	158	168	O	experiments
NULL

10959916.xml	DDI-MedLine.d26.s5	NO_SECTION	NO_SETID	31
The approach is applicable across a wide variety of settings commonly associated with joint action data, including continuous and discrete responses, alternative error structures, and nonzero background response.
1	0	2	O	The
2	4	11	O	approach
3	13	14	O	is
4	16	25	O	applicable
5	27	32	O	across
6	34	34	O	a
7	36	39	O	wide
8	41	47	O	variety
9	49	50	O	of
10	52	59	O	settings
11	61	68	O	commonly
12	70	79	O	associated
13	81	84	O	with
14	86	90	O	joint
15	92	97	O	action
16	99	102	O	data
17	103	103	O	,
18	105	113	O	including
19	115	124	O	continuous
20	126	128	O	and
21	130	137	O	discrete
22	139	147	O	responses
23	148	148	O	,
24	150	160	O	alternative
25	162	166	O	error
26	168	177	O	structures
27	178	178	O	,
28	180	182	O	and
29	184	190	O	nonzero
30	192	201	O	background
31	203	210	O	response
NULL

10959916.xml	DDI-MedLine.d26.s6	NO_SECTION	NO_SETID	30
Further, designs can be expressed in terms of proportionate responses associated with the individual compounds rather than dose levels, thereby providing for results that are applicable across compounds.
1	0	6	O	Further
2	7	7	O	,
3	9	15	O	designs
4	17	19	O	can
5	21	22	O	be
6	24	32	O	expressed
7	34	35	O	in
8	37	41	O	terms
9	43	44	O	of
10	46	58	O	proportionate
11	60	68	O	responses
12	70	79	O	associated
13	81	84	O	with
14	86	88	O	the
15	90	99	O	individual
16	101	109	O	compounds
17	111	116	O	rather
18	118	121	O	than
19	123	126	O	dose
20	128	133	O	levels
21	134	134	O	,
22	136	142	O	thereby
23	144	152	O	providing
24	154	156	O	for
25	158	164	O	results
26	166	169	O	that
27	171	173	O	are
28	175	184	O	applicable
29	186	191	O	across
30	193	201	O	compounds
NULL

10959916.xml	DDI-MedLine.d26.s7	NO_SECTION	NO_SETID	26
As a precursor to this effort, optimal and minimal experimental designs for the case in which a single compound is administered have also been developed.
1	0	1	O	As
2	3	3	O	a
3	5	13	O	precursor
4	15	16	O	to
5	18	21	O	this
6	23	28	O	effort
7	29	29	O	,
8	31	37	O	optimal
9	39	41	O	and
10	43	49	O	minimal
11	51	62	O	experimental
12	64	70	O	designs
13	72	74	O	for
14	76	78	O	the
15	80	83	O	case
16	85	86	O	in
17	88	92	O	which
18	94	94	O	a
19	96	101	O	single
20	103	110	O	compound
21	112	113	O	is
22	115	126	O	administered
23	128	131	O	have
24	133	136	O	also
25	138	141	O	been
26	143	151	O	developed
NULL

10959916.xml	DDI-MedLine.d26.s8	NO_SECTION	NO_SETID	45
Although the proposed methodology for deriving experimental designs can be applied to any nonlinear regression model, primary focus is given to the additive and nonadditive independent joint action (IJA) models for individual and combined exposures proposed by Barton, Braunberg, and Friedman (1).
1	0	7	O	Although
2	9	11	O	the
3	13	20	O	proposed
4	22	32	O	methodology
5	34	36	O	for
6	38	45	O	deriving
7	47	58	O	experimental
8	60	66	O	designs
9	68	70	O	can
10	72	73	O	be
11	75	81	O	applied
12	83	84	O	to
13	86	88	O	any
14	90	98	O	nonlinear
15	100	109	O	regression
16	111	115	O	model
17	116	116	O	,
18	118	124	O	primary
19	126	130	O	focus
20	132	133	O	is
21	135	139	O	given
22	141	142	O	to
23	144	146	O	the
24	148	155	O	additive
25	157	159	O	and
26	161	171	O	nonadditive
27	173	183	O	independent
28	185	189	O	joint
29	191	196	O	action
30	199	201	O	IJA
31	204	209	O	models
32	211	213	O	for
33	215	224	O	individual
34	226	228	O	and
35	230	237	O	combined
36	239	247	O	exposures
37	249	256	O	proposed
38	258	259	O	by
39	261	266	O	Barton
40	267	267	O	,
41	269	277	O	Braunberg
42	278	278	O	,
43	280	282	O	and
44	284	291	O	Friedman
45	294	294	O	1
NULL

10978746.xml	DDI-MedLine.d69.s0	NO_SECTION	NO_SETID	21
Differential regulation of tyrosine phosphorylation in tumor cells by contortrostatin, a homodimeric disintegrin, and monomeric disintegrins echistatin and flavoridin.
1	0	11	O	Differential
2	13	22	O	regulation
3	24	25	O	of
4	27	34	O	tyrosine
5	36	50	O	phosphorylation
6	52	53	O	in
7	55	59	O	tumor
8	61	65	O	cells
9	67	68	O	by
10	70	84	U-UNK	contortrostatin
11	85	85	O	,
12	87	87	O	a
13	89	99	O	homodimeric
14	101	111	O	disintegrin
15	112	112	O	,
16	114	116	O	and
17	118	126	O	monomeric
18	128	139	O	disintegrins
19	141	150	U-UNK	echistatin
20	152	154	O	and
21	156	165	U-UNK	flavoridin
NULL

10978746.xml	DDI-MedLine.d69.s1	NO_SECTION	NO_SETID	25
The homodimeric disintegrin contortrostatin was compared directly to the monomeric disintegrins echistatin and flavoridin for the ability to affect protein tyrosine phosphorylation in tumor cells.
1	0	2	O	The
2	4	14	O	homodimeric
3	16	26	O	disintegrin
4	28	42	U-UNK	contortrostatin
5	44	46	O	was
6	48	55	O	compared
7	57	64	O	directly
8	66	67	O	to
9	69	71	O	the
10	73	81	O	monomeric
11	83	94	O	disintegrins
12	96	105	U-UNK	echistatin
13	107	109	O	and
14	111	120	U-UNK	flavoridin
15	122	124	O	for
16	126	128	O	the
17	130	136	O	ability
18	138	139	O	to
19	141	146	O	affect
20	148	154	O	protein
21	156	163	O	tyrosine
22	165	179	O	phosphorylation
23	181	182	O	in
24	184	188	O	tumor
25	190	194	O	cells
NULL

10978746.xml	DDI-MedLine.d69.s2	NO_SECTION	NO_SETID	38
It was observed that contortrostatin had a dramatic effect on the tyrosine phosphorylation status of several proteins in T24 human bladder cancer cells, including robust induction of phosphorylation of proteins in the range of 120-140 kDa.
1	0	1	O	It
2	3	5	O	was
3	7	14	O	observed
4	16	19	O	that
5	21	35	U-UNK	contortrostatin
6	37	39	O	had
7	41	41	O	a
8	43	50	O	dramatic
9	52	57	O	effect
10	59	60	O	on
11	62	64	O	the
12	66	73	O	tyrosine
13	75	89	O	phosphorylation
14	91	96	O	status
15	98	99	O	of
16	101	107	O	several
17	109	116	O	proteins
18	118	119	O	in
19	121	123	O	T24
20	125	129	O	human
21	131	137	O	bladder
22	139	144	O	cancer
23	146	150	O	cells
24	151	151	O	,
25	153	161	O	including
26	163	168	O	robust
27	170	178	O	induction
28	180	181	O	of
29	183	197	O	phosphorylation
30	199	200	O	of
31	202	209	O	proteins
32	211	212	O	in
33	214	216	O	the
34	218	222	O	range
35	224	225	O	of
36	227	229	O	120
37	231	233	O	140
38	235	237	O	kDa
NULL

10978746.xml	DDI-MedLine.d69.s3	NO_SECTION	NO_SETID	25
Echistatin alone had no effect on tyrosine phosphorylation in T24 cells, but dose-dependently inhibits the effects of contortrostatin when both are added simultaneously.
1	0	9	U-UNK	Echistatin
2	11	15	O	alone
3	17	19	O	had
4	21	22	O	no
5	24	29	O	effect
6	31	32	O	on
7	34	41	O	tyrosine
8	43	57	O	phosphorylation
9	59	60	O	in
10	62	64	O	T24
11	66	70	O	cells
12	71	71	O	,
13	73	75	O	but
14	77	80	O	dose
15	82	92	O	dependently
16	94	101	O	inhibits
17	103	105	O	the
18	107	113	O	effects
19	115	116	O	of
20	118	132	U-UNK	contortrostatin
21	134	137	O	when
22	139	142	O	both
23	144	146	O	are
24	148	152	O	added
25	154	167	O	simultaneously
NULL

10978746.xml	DDI-MedLine.d69.s4	NO_SECTION	NO_SETID	24
Among the proteins that undergo tyrosine phosphorylation in response to contortrostatin treatment is CAS, a 130 kDa adapter protein involved in integrin signaling.
1	0	4	O	Among
2	6	8	O	the
3	10	17	O	proteins
4	19	22	O	that
5	24	30	O	undergo
6	32	39	O	tyrosine
7	41	55	O	phosphorylation
8	57	58	O	in
9	60	67	O	response
10	69	70	O	to
11	72	86	U-UNK	contortrostatin
12	88	96	O	treatment
13	98	99	O	is
14	101	103	O	CAS
15	104	104	O	,
16	106	106	O	a
17	108	110	O	130
18	112	114	O	kDa
19	116	122	O	adapter
20	124	130	O	protein
21	132	139	O	involved
22	141	142	O	in
23	144	151	O	integrin
24	153	161	O	signaling
NULL

10978746.xml	DDI-MedLine.d69.s5	NO_SECTION	NO_SETID	26
Flavoridin alone was found to have no effect on CAS, but can completely block contortrostatin-induced phosphorylation of this protein in MDA-MB-435 cells.
1	0	9	U-UNK	Flavoridin
2	11	15	O	alone
3	17	19	O	was
4	21	25	O	found
5	27	28	O	to
6	30	33	O	have
7	35	36	O	no
8	38	43	O	effect
9	45	46	O	on
10	48	50	O	CAS
11	51	51	O	,
12	53	55	O	but
13	57	59	O	can
14	61	70	O	completely
15	72	76	O	block
16	78	92	U-UNK	contortrostatin
17	94	100	O	induced
18	102	116	O	phosphorylation
19	118	119	O	of
20	121	124	O	this
21	126	132	O	protein
22	134	135	O	in
23	137	139	O	MDA
24	141	142	O	MB
25	144	146	O	435
26	148	152	O	cells
NULL

10978746.xml	DDI-MedLine.d69.s6	NO_SECTION	NO_SETID	21
These observations strongly suggest that the homodimeric structure of contortrostatin functionally distinguishes it from other monomeric members of the disintegrin family.
1	0	4	O	These
2	6	17	O	observations
3	19	26	O	strongly
4	28	34	O	suggest
5	36	39	O	that
6	41	43	O	the
7	45	55	O	homodimeric
8	57	65	O	structure
9	67	68	O	of
10	70	84	U-UNK	contortrostatin
11	86	97	O	functionally
12	99	111	O	distinguishes
13	113	114	O	it
14	116	119	O	from
15	121	125	O	other
16	127	135	O	monomeric
17	137	143	O	members
18	145	146	O	of
19	148	150	O	the
20	152	162	O	disintegrin
21	164	169	O	family
NULL

10978751.xml	DDI-MedLine.d48.s0	NO_SECTION	NO_SETID	14
Modification of surface histidine residues abolishes the cytotoxic activity of Clostridium difficile toxin A.
1	0	11	O	Modification
2	13	14	O	of
3	16	22	O	surface
4	24	32	O	histidine
5	34	41	O	residues
6	43	51	O	abolishes
7	53	55	O	the
8	57	65	O	cytotoxic
9	67	74	O	activity
10	76	77	O	of
11	79	89	B-UNK	Clostridium
12	91	99	I-UNK	difficile
13	101	105	I-UNK	toxin
14	107	107	L-UNK	A
NULL

10978751.xml	DDI-MedLine.d48.s1	NO_SECTION	NO_SETID	10
Clostridium difficile toxin A displays both cytotoxic and enterotoxic activities.
1	0	10	B-UNK	Clostridium
2	12	20	I-UNK	difficile
3	22	26	I-UNK	toxin
4	28	28	L-UNK	A
5	30	37	O	displays
6	39	42	O	both
7	44	52	O	cytotoxic
8	54	56	O	and
9	58	68	O	enterotoxic
10	70	79	O	activities
NULL

10978751.xml	DDI-MedLine.d48.s2	NO_SECTION	NO_SETID	25
It has recently been demonstrated that toxin A exerts its cytotoxic effect by the glucosylation of the small GTP-binding proteins of the Rho family.
1	0	1	O	It
2	3	5	O	has
3	7	14	O	recently
4	16	19	O	been
5	21	32	O	demonstrated
6	34	37	O	that
7	39	43	B-UNK	toxin
8	45	45	L-UNK	A
9	47	52	O	exerts
10	54	56	O	its
11	58	66	O	cytotoxic
12	68	73	O	effect
13	75	76	O	by
14	78	80	O	the
15	82	94	O	glucosylation
16	96	97	O	of
17	99	101	O	the
18	103	107	O	small
19	109	111	O	GTP
20	113	119	O	binding
21	121	128	O	proteins
22	130	131	O	of
23	133	135	O	the
24	137	139	O	Rho
25	141	146	O	family
NULL

10978751.xml	DDI-MedLine.d48.s3	NO_SECTION	NO_SETID	18
Diethyl pyrocarbonate, at pH 7.0, was used to chemically modify exposed histidine residues on toxin A.
1	0	6	B-UNK	Diethyl
2	8	20	L-UNK	pyrocarbonate
3	21	21	O	,
4	23	24	O	at
5	26	27	O	pH
6	29	31	O	7.0
7	32	32	O	,
8	34	36	O	was
9	38	41	O	used
10	43	44	O	to
11	46	55	O	chemically
12	57	62	O	modify
13	64	70	O	exposed
14	72	80	O	histidine
15	82	89	O	residues
16	91	92	O	on
17	94	98	B-UNK	toxin
18	100	100	L-UNK	A
NULL

10978751.xml	DDI-MedLine.d48.s4	NO_SECTION	NO_SETID	23
Modification of toxin A with diethyl pyrocarbonate abolished both its cytotoxic activity and the ability of the toxin to bind Zn-Sepharose gel.
1	0	11	O	Modification
2	13	14	O	of
3	16	20	B-UNK	toxin
4	22	22	L-UNK	A
5	24	27	O	with
6	29	35	B-UNK	diethyl
7	37	49	L-UNK	pyrocarbonate
8	51	59	O	abolished
9	61	64	O	both
10	66	68	O	its
11	70	78	O	cytotoxic
12	80	87	O	activity
13	89	91	O	and
14	93	95	O	the
15	97	103	O	ability
16	105	106	O	of
17	108	110	O	the
18	112	116	O	toxin
19	118	119	O	to
20	121	124	O	bind
21	126	127	O	Zn
22	129	137	O	Sepharose
23	139	141	O	gel
NULL

10978751.xml	DDI-MedLine.d48.s5	NO_SECTION	NO_SETID	19
Treatment of toxin A with [(14)C]-diethyl pyrocarbonate revealed concentration dependent labelling of histidine residues on the toxin molecules.
1	0	8	O	Treatment
2	10	11	O	of
3	13	17	B-UNK	toxin
4	19	19	L-UNK	A
5	21	24	O	with
6	28	31	O	14)C
7	34	40	B-UNK	diethyl
8	42	54	L-UNK	pyrocarbonate
9	56	63	O	revealed
10	65	77	O	concentration
11	79	87	O	dependent
12	89	97	O	labelling
13	99	100	O	of
14	102	110	O	histidine
15	112	119	O	residues
16	121	122	O	on
17	124	126	O	the
18	128	132	O	toxin
19	134	142	O	molecules
NULL

10978751.xml	DDI-MedLine.d48.s6	NO_SECTION	NO_SETID	11
The effects of diethyl pyrocarbonate could be reversed by hydroxylamine treatment.
1	0	2	O	The
2	4	10	O	effects
3	12	13	O	of
4	15	21	B-UNK	diethyl
5	23	35	L-UNK	pyrocarbonate
6	37	41	O	could
7	43	44	O	be
8	46	53	O	reversed
9	55	56	O	by
10	58	70	U-UNK	hydroxylamine
11	72	80	O	treatment
NULL

10978751.xml	DDI-MedLine.d48.s7	NO_SECTION	NO_SETID	16
These data suggest the modified histidine residues on toxin A are critical to its cytotoxic activity.
1	0	4	O	These
2	6	9	O	data
3	11	17	O	suggest
4	19	21	O	the
5	23	30	O	modified
6	32	40	O	histidine
7	42	49	O	residues
8	51	52	O	on
9	54	58	B-UNK	toxin
10	60	60	L-UNK	A
11	62	64	O	are
12	66	73	O	critical
13	75	76	O	to
14	78	80	O	its
15	82	90	O	cytotoxic
16	92	99	O	activity
NULL

10978751.xml	DDI-MedLine.d48.s8	NO_SECTION	NO_SETID	14
Histidine modification had no effect on the glucosyl transferase enzyme activity of toxin A.
1	0	8	O	Histidine
2	10	21	O	modification
3	23	25	O	had
4	27	28	O	no
5	30	35	O	effect
6	37	38	O	on
7	40	42	O	the
8	44	51	O	glucosyl
9	53	63	O	transferase
10	65	70	O	enzyme
11	72	79	O	activity
12	81	82	O	of
13	84	88	B-UNK	toxin
14	90	90	L-UNK	A
NULL

10978751.xml	DDI-MedLine.d48.s9	NO_SECTION	NO_SETID	26
However, modification abolished the 'cold' binding of toxin to bovine thyroglobulin in an ELISA and reduced ligand binding activity in a rabbit erythrocyte haemagglutination assay.
1	0	6	O	However
2	7	7	O	,
3	9	20	O	modification
4	22	30	O	abolished
5	32	34	O	the
6	36	41	O	'cold'
7	43	49	O	binding
8	51	52	O	of
9	54	58	O	toxin
10	60	61	O	to
11	63	68	O	bovine
12	70	82	O	thyroglobulin
13	84	85	O	in
14	87	88	O	an
15	90	94	O	ELISA
16	96	98	O	and
17	100	106	O	reduced
18	108	113	O	ligand
19	115	121	O	binding
20	123	130	O	activity
21	132	133	O	in
22	135	135	O	a
23	137	142	O	rabbit
24	144	154	O	erythrocyte
25	156	172	O	haemagglutination
26	174	178	O	assay
NULL

10978751.xml	DDI-MedLine.d48.s10	NO_SECTION	NO_SETID	18
The data suggest that the histidine residues may be crucial to the receptor-binding activity of toxin A.
1	0	2	O	The
2	4	7	O	data
3	9	15	O	suggest
4	17	20	O	that
5	22	24	O	the
6	26	34	O	histidine
7	36	43	O	residues
8	45	47	O	may
9	49	50	O	be
10	52	58	O	crucial
11	60	61	O	to
12	63	65	O	the
13	67	74	O	receptor
14	76	82	O	binding
15	84	91	O	activity
16	93	94	O	of
17	96	100	B-UNK	toxin
18	102	102	L-UNK	A
NULL

10978751.xml	DDI-MedLine.d48.s11	NO_SECTION	NO_SETID	31
Exposed histidines on toxin A are available for zinc chelation, and these have been exploited in the development of a novel purification protocol for toxin A using zinc-chelating chromatography.
1	0	6	O	Exposed
2	8	17	O	histidines
3	19	20	O	on
4	22	26	B-UNK	toxin
5	28	28	L-UNK	A
6	30	32	O	are
7	34	42	O	available
8	44	46	O	for
9	48	51	U-UNK	zinc
10	53	61	O	chelation
11	62	62	O	,
12	64	66	O	and
13	68	72	O	these
14	74	77	O	have
15	79	82	O	been
16	84	92	O	exploited
17	94	95	O	in
18	97	99	O	the
19	101	111	O	development
20	113	114	O	of
21	116	116	O	a
22	118	122	O	novel
23	124	135	O	purification
24	137	144	O	protocol
25	146	148	O	for
26	150	154	B-UNK	toxin
27	156	156	L-UNK	A
28	158	162	O	using
29	164	167	U-UNK	zinc
30	169	177	O	chelating
31	179	192	O	chromatography
NULL

11064383.xml	DDI-MedLine.d18.s0	NO_SECTION	NO_SETID	15
Note: dissolution of aerosol particles of budesonide in Survanta, a model lung surfactant.
1	0	3	O	Note
2	4	4	O	:
3	6	16	O	dissolution
4	18	19	O	of
5	21	27	O	aerosol
6	29	37	O	particles
7	39	40	O	of
8	42	51	U-UNK	budesonide
9	53	54	O	in
10	56	63	O	XXXXXXXX
11	64	64	O	,
12	66	66	O	a
13	68	72	O	model
14	74	77	B-UNK	lung
15	79	88	L-UNK	surfactant
NULL

11064383.xml	DDI-MedLine.d18.s1	NO_SECTION	NO_SETID	24
The effect of a pulmonary surfactant extract from bovine lung, Survanta, on the dissolution rate of aerosol particles of budesonide was determined.
1	0	2	O	The
2	4	9	O	effect
3	11	12	O	of
4	14	14	O	a
5	16	24	B-UNK	pulmonary
6	26	35	L-UNK	surfactant
7	37	43	O	extract
8	45	48	O	from
9	50	55	O	bovine
10	57	60	O	lung
11	61	61	O	,
12	63	70	O	XXXXXXXX
13	71	71	O	,
14	73	74	O	on
15	76	78	O	the
16	80	90	O	dissolution
17	92	95	O	rate
18	97	98	O	of
19	100	106	O	aerosol
20	108	116	O	particles
21	118	119	O	of
22	121	130	U-UNK	budesonide
23	132	134	O	was
24	136	145	O	determined
NULL

11064383.xml	DDI-MedLine.d18.s2	NO_SECTION	NO_SETID	29
Aerosol particles of budesonide were generated from an ethanol solution, dried, and collected by a cascade impactor for characterization or by a liquid impinger for dissolution experiments.
1	0	6	O	Aerosol
2	8	16	O	particles
3	18	19	O	of
4	21	30	U-UNK	budesonide
